['APOL3'],[[1.0665379]],[[0.38825924]],[[0.34968443]],[[0.34529806]],[[0.43346547]],[[0.58336319]],[[0.61676966]],[[0.66244376]],[[0.819702]],[[0.95834387]],[[0.93726261]],[[1.09754727]],[[0.96913323]]
['TBC1D27'],[[0.9647103]],[[0.37773763]],[[0.29017038]],[[0.47722422]],[[0.25352238]],[[0.36210268]],[[0.37659567]],[[0.62527232]],[[1.17386118]],[[0.87084522]],[[0.71611589]],[[0.8885678]],[[0.7823005]]
['IFT22'],[[0.89731718]],[[0.29706812]],[[0.51622169]],[[0.24185481]],[[0.39833067]],[[0.57237935]],[[0.87914363]],[[0.69496616]],[[0.85375265]],[[0.58869798]],[[1.14306043]],[[0.96889626]],[[0.95697348]]
['CCDC136'],[[0.97329892]],[[0.25029302]],[[0.2261888]],[[0.36249323]],[[0.30357195]],[[0.37122339]],[[0.42318588]],[[0.69001421]],[[0.6761626]],[[0.77183836]],[[0.82861123]],[[1.0485864]],[[0.86499181]]
['CDKN1C'],[[1.16481276]],[[0.28081852]],[[0.26066493]],[[0.34740022]],[[0.60577077]],[[0.84196842]],[[0.85138891]],[[0.69516654]],[[0.97971634]],[[1.0425587]],[[1.64906506]],[[1.75190347]],[[2.00382305]]
['THEM6'],[[1.20954723]],[[0.49729153]],[[0.49120834]],[[0.44892638]],[[0.59337419]],[[0.71926872]],[[0.72393321]],[[0.90024679]],[[0.99854751]],[[1.07625492]],[[1.13897259]],[[1.23500209]],[[1.11558051]]
['KLHDC7B'],[[1.15772142]],[[0.48620655]],[[0.41462581]],[[0.36828318]],[[0.45581918]],[[0.65849362]],[[0.51075509]],[[0.72215899]],[[0.99557475]],[[0.95361284]],[[1.18105905]],[[1.43551703]],[[1.35909759]]
['CRB3'],[[0.88434797]],[[0.24389597]],[[0.37522977]],[[0.1348987]],[[0.42388601]],[[0.44001908]],[[0.77893111]],[[0.61149307]],[[0.82249878]],[[0.80253988]],[[0.65899635]],[[0.86859368]],[[0.71642506]]
['SAMD10'],[[1.11071999]],[[0.23645896]],[[0.40495802]],[[0.41722827]],[[0.61680371]],[[0.58369416]],[[0.63795526]],[[0.64004325]],[[0.76102793]],[[0.88390802]],[[1.01702843]],[[1.34423777]],[[1.2279924]]
['LAMA5'],[[0.95176812]],[[0.44497271]],[[0.56544491]],[[0.29418274]],[[0.41680548]],[[0.51394217]],[[0.63288333]],[[0.71027373]],[[1.13779522]],[[0.93016406]],[[1.35180413]],[[1.67435428]],[[1.35416591]]
