['RNASE3'],[[0.83428398]],[[1.35736817]],[[0.68946589]],[[2.30495746]],[[2.13151576]],[[2.22597145]],[[1.57550143]],[[2.26181466]],[[2.52390273]],[[1.34937425]],[[1.86663374]],[[2.83981556]],[[2.24385569]]
['MYO7B'],[[0.87404732]],[[1.41428517]],[[1.29255555]],[[2.72417541]],[[2.30084668]],[[1.85466267]],[[1.69845991]],[[2.39852017]],[[1.78140637]],[[1.44702138]],[[1.70343595]],[[1.87314981]],[[1.6913341]]
['ADORA2B'],[[0.91001461]],[[1.42886862]],[[1.54180333]],[[1.48790735]],[[1.23491923]],[[1.21925252]],[[1.80858913]],[[2.07588012]],[[1.71674956]],[[1.53928539]],[[1.06542949]],[[1.36006715]],[[1.15709241]]
['CAVIN3'],[[1.25580016]],[[1.59971061]],[[2.06556158]],[[2.21560415]],[[1.9229521]],[[2.31752968]],[[1.94881193]],[[2.73326348]],[[2.47692062]],[[2.45981623]],[[1.81968548]],[[1.91452294]],[[1.76246602]]
['COL8A2'],[[0.87912001]],[[1.02788065]],[[1.00017761]],[[1.65279245]],[[1.56784686]],[[2.43755734]],[[1.88528262]],[[2.00783169]],[[1.50690513]],[[1.49710432]],[[1.28121741]],[[1.55675482]],[[1.43664991]]
['RSPH9'],[[1.25580016]],[[2.33960803]],[[2.42779548]],[[3.43105263]],[[3.10689017]],[[2.65833445]],[[2.58640152]],[[3.28874943]],[[2.9877232]],[[1.51275553]],[[2.19280312]],[[2.52512919]],[[2.35856908]]
['EFEMP2'],[[1.15484299]],[[1.37296644]],[[1.57626549]],[[1.64211576]],[[1.32223841]],[[1.79542641]],[[1.457476]],[[1.69788186]],[[1.16005179]],[[1.30912386]],[[0.96632006]],[[1.0432921]],[[0.93759114]]
['AP000769.1'],[[0.70129063]],[[1.32950465]],[[0.88232572]],[[1.71130839]],[[1.43861561]],[[1.26687207]],[[1.40087565]],[[1.78058259]],[[1.29389076]],[[0.90477819]],[[0.88524384]],[[1.05813646]],[[0.83233584]]
['TALDO1'],[[1.00464646]],[[1.7341721]],[[1.68659153]],[[2.04110186]],[[1.83386486]],[[1.86001806]],[[1.58621093]],[[1.85351857]],[[1.66739838]],[[1.42954925]],[[1.23150168]],[[1.45292151]],[[1.22148309]]
['PNPLA2'],[[1.04302868]],[[1.61915219]],[[1.52715348]],[[1.95312756]],[[1.74795011]],[[1.48395182]],[[1.1491295]],[[1.92523491]],[[2.33031799]],[[1.64468409]],[[1.44853506]],[[1.68027635]],[[1.52442542]]
['FAM20C'],[[1.01683258]],[[2.21765968]],[[2.14249923]],[[1.89007673]],[[1.66720689]],[[2.19606442]],[[2.19740682]],[[1.8166424]],[[1.57183986]],[[1.76858753]],[[0.99350644]],[[1.10428099]],[[1.0267975]]
['GRINA'],[[0.97940803]],[[1.6224335]],[[1.67721651]],[[1.96395356]],[[1.88753408]],[[1.6763264]],[[1.45923908]],[[1.71402775]],[[1.78999515]],[[1.62746486]],[[1.23744597]],[[1.51811066]],[[1.37422923]]
['C9orf106'],[[1.12884562]],[[1.80807222]],[[1.86071928]],[[1.65437291]],[[1.28539728]],[[1.28055433]],[[1.40486726]],[[1.6950685]],[[1.4196306]],[[1.23786916]],[[0.99777621]],[[1.14351273]],[[0.86323207]]
['SLITRK4'],[[0.96095823]],[[1.04138855]],[[1.37461357]],[[1.20033562]],[[1.03537611]],[[1.57761339]],[[1.77259687]],[[1.57741385]],[[1.40566553]],[[1.327469]],[[1.00663224]],[[0.9434282]],[[0.93237751]]
['YOD1'],[[0.83908048]],[[1.17626224]],[[1.18462897]],[[1.30981392]],[[1.17382669]],[[0.92797259]],[[0.51691015]],[[1.15253644]],[[1.51405609]],[[1.39061927]],[[1.04762902]],[[0.99762541]],[[0.93206127]]
['CLEC4G'],[[1.05627286]],[[1.23504302]],[[1.29879632]],[[1.4731387]],[[1.41706993]],[[1.58129779]],[[1.94881184]],[[1.71546546]],[[1.1290169]],[[1.51275553]],[[0.71639824]],[[1.29285285]],[[1.06578208]]
['C2orf82'],[[1.11908125]],[[0.53734036]],[[1.25131708]],[[1.89049168]],[[1.68287914]],[[1.72347892]],[[1.674958]],[[2.15103329]],[[1.35985331]],[[1.50380318]],[[1.28936967]],[[1.46754666]],[[1.37090646]]
['GAS6'],[[1.03989895]],[[1.62746219]],[[1.85382532]],[[1.75289669]],[[1.76297339]],[[1.67559747]],[[1.46297385]],[[1.65740014]],[[1.45972868]],[[1.85794018]],[[1.07457326]],[[1.21399461]],[[0.97765768]]
['SEPT5'],[[1.07020954]],[[2.0434977]],[[1.80820798]],[[2.30530113]],[[2.05637114]],[[1.44791157]],[[1.11897968]],[[2.48393899]],[[2.29970144]],[[1.13241785]],[[1.86373271]],[[1.77865832]],[[1.65947252]]
['SLC24A3'],[[0.92078499]],[[1.55705661]],[[1.51408362]],[[2.10669898]],[[1.97809584]],[[1.41316768]],[[0.87443899]],[[2.13110684]],[[2.14293614]],[[1.01601724]],[[1.45378301]],[[1.50401768]],[[1.59055359]]
['UBE2H'],[[0.9347325]],[[1.4795543]],[[1.53296011]],[[1.97914942]],[[1.80689419]],[[1.39609382]],[[1.01996336]],[[1.56105849]],[[1.71879629]],[[1.28280226]],[[0.99889355]],[[1.15622098]],[[1.07804221]]
