['IL6'],[[1.12697165]],[[0]],[[0]],[[0.81162131]],[[0.23245499]],[[0.55393544]],[[0]],[[0.66861562]],[[0.70847745]],[[1.25235819]],[[0.59492487]],[[0.95774882]],[[0.67829067]]
['CIB2'],[[0.86369339]],[[0.16350831]],[[0.20438689]],[[0.12053304]],[[0.34644434]],[[0.40496712]],[[0.95311133]],[[1.0751944]],[[0.62732572]],[[0.615092]],[[0.85064988]],[[1.36778991]],[[0.97791957]]
['SIT1'],[[0.4517379]],[[0.26192166]],[[0.25796953]],[[0.20957365]],[[0.22318698]],[[0.49899758]],[[0.56722652]],[[0.79455632]],[[0.67097489]],[[0.67911631]],[[0.79283545]],[[1.05334585]],[[0.83630709]]
['FXYD2'],[[0.25130754]],[[0.41608998]],[[0.1907102]],[[0.11224966]],[[0.10872214]],[[0.48667898]],[[0.52064029]],[[0.49265843]],[[0.51461316]],[[0.48020752]],[[0.73108213]],[[0.91988833]],[[0.47079225]]
['ZNF365'],[[0.86076319]],[[0.17184004]],[[0.40146328]],[[0.35110774]],[[0.41058935]],[[0.46417508]],[[0.78537203]],[[0.60959306]],[[0.54394308]],[[0.45795781]],[[0.75698533]],[[1.20938357]],[[0.83081777]]
['CD27'],[[0.57662785]],[[0.22207534]],[[0.25647696]],[[0.24720768]],[[0.2661693]],[[0.42657868]],[[0.53022344]],[[0.78852577]],[[0.67915386]],[[0.65623139]],[[0.81186655]],[[0.99092617]],[[0.90908565]]
['CCDC65'],[[0.50018946]],[[0.29726667]],[[0.3675814]],[[0.12515106]],[[0.3688756]],[[0.41902224]],[[0.60330455]],[[0.87232862]],[[0.69353156]],[[0.61776051]],[[0.97587835]],[[1.15323787]],[[0.81254407]]
['NKD1'],[[0.49553706]],[[0.31035733]],[[0.13942284]],[[0.15857222]],[[0.09339356]],[[0.19411993]],[[0.56912413]],[[0.45469734]],[[0.38805629]],[[0.37992218]],[[0.66737355]],[[0.73992217]],[[1.00306411]]
['IGFBP4'],[[1.12697169]],[[0.3103574]],[[0.07139503]],[[0.92631096]],[[0.26902949]],[[0.62302219]],[[0.92967162]],[[0.94493227]],[[0.74381374]],[[0.71192396]],[[1.15973522]],[[1.38398766]],[[0.65732593]]
['XCL2'],[[0.68488876]],[[0.16757054]],[[0.33380878]],[[0.20044063]],[[0.30072022]],[[0.39408571]],[[0.55023775]],[[0.54347417]],[[0.50162343]],[[0.4855721]],[[0.70053293]],[[0.87662807]],[[1.11958376]]
['RORC'],[[0.78445324]],[[0.12769677]],[[0.16010951]],[[0.22995213]],[[0.38091215]],[[0.34903752]],[[0.40019108]],[[0.96225482]],[[0.8443976]],[[0.4592872]],[[1.1534362]],[[1.29888473]],[[0.77366627]]
['NPHP1'],[[0.73638749]],[[0]],[[0]],[[0.19105316]],[[0.36005871]],[[0.43409569]],[[0.68565178]],[[0.60501079]],[[0.57900457]],[[0.60251806]],[[0.51985224]],[[0.83851081]],[[1.16221041]]
['FBLN7'],[[0.87010445]],[[0.21244965]],[[0.3428719]],[[0.36512525]],[[0.19923782]],[[0.36245442]],[[0.69487206]],[[0.88631509]],[[0.71589381]],[[0.55441983]],[[0.87817249]],[[1.11344734]],[[1.02694721]]
['SLC4A10'],[[1.01484661]],[[0.0755962]],[[0.18453693]],[[0.12583984]],[[0.70813739]],[[0.29392604]],[[0.66670949]],[[1.0829142]],[[1.01725431]],[[0.48255314]],[[1.48378714]],[[1.67478082]],[[0.93411116]]
['OSBPL10'],[[0.5433169]],[[0.18955087]],[[0.22425911]],[[0.1838776]],[[0.31532618]],[[0.79679185]],[[0.7857849]],[[0.80877354]],[[0.90501995]],[[0.33644098]],[[0.93008465]],[[1.06755956]],[[0.67693717]]
['KLHL3'],[[0.75927398]],[[0.32148411]],[[0.38590156]],[[0.3144603]],[[0.25474683]],[[0.4415737]],[[0.61290256]],[[0.70681652]],[[0.63454271]],[[0.83268954]],[[0.90585518]],[[1.00258518]],[[0.97003474]]
['PRSS35'],[[0.47991972]],[[0]],[[0]],[[0.17103232]],[[0.14200807]],[[0.20917673]],[[0.34529727]],[[0.69316569]],[[0.70479669]],[[0.69096042]],[[1.33103646]],[[1.12079592]],[[0.67829077]]
['IGFBP3'],[[0.88999914]],[[0.24310938]],[[0.25577388]],[[0.71732131]],[[0.49943238]],[[0.60706153]],[[0.96672401]],[[0.64763946]],[[0.65866782]],[[0.51970722]],[[1.24234082]],[[1.5311095]],[[1.01716899]]
['GPR174'],[[0.53769807]],[[0.25431653]],[[0.23419552]],[[0.28847273]],[[0.30466023]],[[0.53397085]],[[0.88182794]],[[0.68974498]],[[0.54377736]],[[0.47432693]],[[0.76167613]],[[0.92764485]],[[0.89650839]]
