['PROX2'],[[1.18421685]],[[0.56935828]],[[0.57570068]],[[0]],[[0.65358452]],[[0.21487951]],[[0.65013342]],[[0.31075696]],[[1.00786829]],[[0.6905184]],[[1.20063649]],[[1.03691386]],[[1.39992944]]
['GPR68'],[[1.66418146]],[[0.99578666]],[[0.95849781]],[[0.94763779]],[[1.22214859]],[[0.77917506]],[[1.10922179]],[[1.25519011]],[[1.61297122]],[[1.24404285]],[[1.70321336]],[[1.85637391]],[[1.81231948]]
['SFRP5'],[[0]],[[0]],[[2.29959901]],[[0]],[[2.57510111]],[[0]],[[0]],[[0.97190838]],[[3.46166802]],[[0.98708903]],[[0]],[[2.24484245]],[[1.39992954]]
['PLEKHG1'],[[1.06779131]],[[0.76109657]],[[0.65080045]],[[0.97222028]],[[1.03031647]],[[1.31180899]],[[1.54937713]],[[1.42689369]],[[1.66135657]],[[0.99622503]],[[1.20758565]],[[1.14447582]],[[1.13596046]]
['IQSEC3'],[[1.12933142]],[[0.71822018]],[[0.28446209]],[[0.59490525]],[[1.1878255]],[[0.27993793]],[[0.4641896]],[[1.19024271]],[[2.42192098]],[[0.21871535]],[[1.66175753]],[[0.69893756]],[[1.15650354]]
['PPP3CC'],[[1.20457563]],[[0.77730294]],[[0.67276384]],[[0.61944188]],[[0.75588267]],[[0.73856587]],[[0.91403956]],[[0.87157836]],[[1.00755081]],[[0.9202469]],[[1.15297092]],[[1.061317]],[[1.18053104]]
['ECHDC2'],[[0.96075161]],[[0.50412535]],[[0.44776615]],[[0.37293701]],[[0.48585762]],[[0.59155488]],[[0.81196614]],[[0.70935741]],[[0.90580793]],[[0.8663069]],[[1.07846569]],[[1.1211067]],[[1.05488705]]
['TMEM156'],[[1.25796826]],[[1.00909092]],[[1.0766227]],[[1.15122214]],[[0.75163549]],[[1.19210317]],[[1.15387309]],[[1.10846034]],[[1.1933845]],[[1.07485356]],[[1.36000358]],[[1.3304881]],[[1.25070043]]
['LAX1'],[[1.30880953]],[[0.76798372]],[[0.70122197]],[[0.63050336]],[[0.71315973]],[[0.80315772]],[[0.87414787]],[[1.07285401]],[[1.10418392]],[[1.00093031]],[[1.28381452]],[[1.33381285]],[[1.18611906]]
['RAB9B'],[[0.59355464]],[[0.40335023]],[[0.72584431]],[[0.327902]],[[0.2487902]],[[0.61857389]],[[0.73482781]],[[0.64231926]],[[0.55345494]],[[0.57636809]],[[0.28261976]],[[0.69893763]],[[0.80830801]]
['ACVR1C'],[[0.71720176]],[[0.39615117]],[[0.48576436]],[[0.2853802]],[[0.2138232]],[[0.68086052]],[[0.70257458]],[[0.43635345]],[[0.69945174]],[[0.74976036]],[[0.94005648]],[[1.04860567]],[[1.08437958]]
