['ACKR1'],[[0.67696829]],[[0.65007619]],[[0.63347841]],[[0.71850154]],[[0.98296912]],[[0.58867512]],[[0.61901317]],[[0.83377498]],[[2.29415932]],[[1.11445824]],[[0.92565945]],[[0.83117692]],[[0.99724624]]
['HBD'],[[0.86840733]],[[0.82715355]],[[0.87045003]],[[1.22896214]],[[1.11904963]],[[0.98917979]],[[1.47050878]],[[1.85914175]],[[3.83859642]],[[1.3000411]],[[1.27132096]],[[1.30145655]],[[0.98792629]]
['AC244394.1'],[[1.50195172]],[[0.82715355]],[[1.50122562]],[[1.33977591]],[[1.17844179]],[[0.32995156]],[[1.49661693]],[[1.23020734]],[[2.63736625]],[[2.05066908]],[[1.35506841]],[[0.95230625]],[[1.3074275]]
['UBBP1'],[[1.40823364]],[[0.40335012]],[[1.39762264]],[[0.9686069]],[[1.16439472]],[[0.97353185]],[[2.09543571]],[[2.04427488]],[[3.74257728]],[[1.30642101]],[[0.98098151]],[[0.76657186]],[[1.28334452]]
['CYP2F2P'],[[0.74726997]],[[0.71822018]],[[0.72584425]],[[0.59490525]],[[0.95832748]],[[1.05012784]],[[1.21933738]],[[1.89687649]],[[2.13606154]],[[1.64526804]],[[1.37125001]],[[0.69893756]],[[0.49541042]]
['AC034102.1'],[[2.60634752]],[[3.50111044]],[[1.85418465]],[[2.48371513]],[[2.76901291]],[[2.89225111]],[[3.33757005]],[[3.85400253]],[[3.88860585]],[[2.56337941]],[[3.39529274]],[[3.08401439]],[[2.75191447]]
['OR2W3'],[[0.53191151]],[[0.56230716]],[[0.47498682]],[[0.56632559]],[[1.36514788]],[[0.6842188]],[[0.73981099]],[[0.99779688]],[[2.92263827]],[[0.99836192]],[[1.06940477]],[[1.10074344]],[[1.08110358]]
['AQP1'],[[0.5628164]],[[0.88499718]],[[0.49433133]],[[0.73973139]],[[1.34795479]],[[0.71583011]],[[0.6824792]],[[1.11885607]],[[2.69064437]],[[1.56772216]],[[1.23420146]],[[1.21088277]],[[1.34281449]]
['SIAH2-AS1'],[[0.90496795]],[[0.24406981]],[[0.24710052]],[[0.28538014]],[[0.5617325]],[[0.24312167]],[[0.8586214]],[[0.86717366]],[[2.14689907]],[[0.98708896]],[[0.16820317]],[[1.04860557]],[[0.7675532]]
['TMEM158'],[[0.50225102]],[[0.61150381]],[[0.56124355]],[[0.62931324]],[[1.0099326]],[[0.75201553]],[[1.6458766]],[[1.81135416]],[[1.97486596]],[[1.41392226]],[[1.17931049]],[[0.97921328]],[[0.86771024]]
['CA3-AS1'],[[0.81243202]],[[0.66889317]],[[0.64197022]],[[0.94010808]],[[0.77770274]],[[1.19210337]],[[1.20244144]],[[1.21321522]],[[1.77835733]],[[1.21345898]],[[1.38269825]],[[1.24023841]],[[1.11811632]]
['AC073172.1'],[[1.15153686]],[[1.45894728]],[[1.64221153]],[[1.71354967]],[[1.59905781]],[[2.11790331]],[[2.54419761]],[[3.11960031]],[[3.29247142]],[[1.53549778]],[[1.08111553]],[[1.29536314]],[[0.94763083]]
['AC073957.2'],[[2.60634752]],[[2.07920961]],[[1.2064787]],[[2.02227534]],[[1.67943433]],[[1.54956278]],[[0.65013335]],[[1.76705454]],[[4.60210411]],[[2.43824392]],[[1.84672237]],[[2.09503719]],[[2.99372279]]
