['EARS2'],[[0.71895743]],[[0.42433644]],[[0.35356972]],[[0.64169628]],[[0.4508601]],[[0.71145805]],[[0.35156482]],[[1.0520461]],[[0.82979146]],[[0.84308858]],[[1.01159284]],[[1.16485538]],[[1.03979046]]
['GGA2'],[[0.51025813]],[[0.40775012]],[[0.41891646]],[[0.76886633]],[[0.5948231]],[[0.83145602]],[[0.65330156]],[[1.19310596]],[[1.04511335]],[[0.90233463]],[[1.12148687]],[[1.26703113]],[[1.11220946]]
['DNAJA3'],[[0.62608256]],[[0.52892802]],[[0.53805619]],[[0.74575604]],[[0.54475589]],[[0.750038]],[[0.517748]],[[1.08340626]],[[0.97300834]],[[0.94778236]],[[1.00061288]],[[1.15446362]],[[1.03066253]]
['KNOP1'],[[0.49970495]],[[0.39723302]],[[0.45181878]],[[0.6007576]],[[0.40487283]],[[0.65334552]],[[0.43826447]],[[0.95657378]],[[0.7735833]],[[0.76121804]],[[0.90034305]],[[1.04023485]],[[0.87072112]]
['CORO2B'],[[0.25399856]],[[0.1444387]],[[0.45672638]],[[1.22431368]],[[0.93587087]],[[0.44418467]],[[0.2851092]],[[1.96471244]],[[1.95490877]],[[0.12859546]],[[2.14735653]],[[1.91202058]],[[1.53222425]]
['ZC2HC1A'],[[0.60130151]],[[0.51455015]],[[0.70175387]],[[0.52707304]],[[0.38897542]],[[0.92225407]],[[0.58302083]],[[0.83870177]],[[0.66775836]],[[0.9454461]],[[0.90605914]],[[0.93212849]],[[0.71742999]]
['KLHDC4'],[[0.88254901]],[[0.6722512]],[[0.59927669]],[[0.75817851]],[[0.58174537]],[[0.65205169]],[[0.39430507]],[[0.97555695]],[[0.87664149]],[[0.85046538]],[[1.09704022]],[[1.24704093]],[[1.06738791]]
['SARS2'],[[0.93835087]],[[0.37277542]],[[0.18781632]],[[0.65111367]],[[0.54592408]],[[0.72787006]],[[0.51426363]],[[1.16806843]],[[0.96050629]],[[1.359659]],[[1.24974623]],[[1.09628207]],[[1.07678089]]
['PPP1R13L'],[[0.39267455]],[[0.42462816]],[[0.45672633]],[[0.61679928]],[[0.53351688]],[[0.68564381]],[[0.43836371]],[[1.05690156]],[[0.77360045]],[[0.82304675]],[[0.78376438]],[[0.97313546]],[[0.83226146]]
['AES'],[[0.53494018]],[[0.42049581]],[[0.4758507]],[[0.63701177]],[[0.50747277]],[[0.51399894]],[[0.3491489]],[[0.95632726]],[[0.90854988]],[[0.99420419]],[[0.95815046]],[[1.18711126]],[[1.04476248]]
['C19orf44'],[[0.2771021]],[[0.44150639]],[[0.26138178]],[[0.51627264]],[[0.37209162]],[[0.60671712]],[[0.54483664]],[[0.82579674]],[[0.70057504]],[[0.7247393]],[[0.66297607]],[[0.8376575]],[[0.70565643]]
