['CFLAR'],[[1.03441706]],[[2.04367008]],[[2.2928558]],[[2.23053568]],[[2.14455489]],[[1.77019238]],[[1.50095839]],[[1.23806943]],[[1.18008978]],[[1.06630404]],[[0.84003819]],[[1.02534307]],[[0.84546046]]
['RPS6KA1'],[[1.15321852]],[[1.95138738]],[[2.04883558]],[[1.97738937]],[[1.83035677]],[[1.5658045]],[[1.35965834]],[[1.20438833]],[[1.24222529]],[[1.13851877]],[[0.91183215]],[[1.10686479]],[[0.91974319]]
['OSBPL9'],[[1.05787639]],[[1.86187787]],[[1.93392041]],[[1.88575966]],[[1.961233]],[[1.4989822]],[[1.08603127]],[[0.98126463]],[[0.96338043]],[[1.00254791]],[[0.89347886]],[[1.05205546]],[[0.92324457]]
['ATF6'],[[1.02512926]],[[2.01678431]],[[2.1516605]],[[2.11540835]],[[2.11289489]],[[1.68866602]],[[1.42019987]],[[1.20666274]],[[1.21548438]],[[1.03075736]],[[0.773244]],[[0.95959988]],[[0.78302215]]
['RNF146'],[[1.16396093]],[[2.0066966]],[[1.9895519]],[[1.95194586]],[[2.16486392]],[[1.83039583]],[[1.48353909]],[[1.18148543]],[[1.20131731]],[[1.06818502]],[[0.93505179]],[[1.0783318]],[[0.94324792]]
['FBXL5'],[[0.95577582]],[[2.03615976]],[[2.04794646]],[[1.97420594]],[[2.16780822]],[[1.90905748]],[[1.36857494]],[[1.14960465]],[[1.08418422]],[[1.04951231]],[[0.7583246]],[[0.87171124]],[[0.73914422]]
['NDUFB3'],[[0.8624281]],[[1.86883079]],[[1.94458022]],[[2.01502079]],[[2.10895402]],[[1.56093836]],[[1.25077699]],[[1.10148765]],[[1.09154244]],[[0.97083517]],[[0.68706249]],[[0.87340748]],[[0.70400735]]
['TRPM6'],[[1.15055084]],[[1.7609435]],[[1.87103537]],[[1.80356133]],[[1.76926126]],[[1.66461287]],[[1.44909965]],[[1.24802375]],[[1.22314681]],[[1.4337559]],[[0.76674177]],[[0.86789933]],[[0.76249502]]
['HSDL2'],[[1.04658682]],[[1.96297451]],[[1.98498804]],[[1.95979998]],[[1.94712473]],[[1.82635018]],[[1.43327205]],[[1.28535035]],[[1.1149778]],[[1.04422508]],[[0.84442287]],[[0.92844619]],[[0.77788708]]
['CSF3R'],[[1.03364267]],[[1.86652437]],[[2.10596122]],[[2.09359469]],[[1.90098603]],[[1.84545176]],[[1.51859031]],[[1.30008873]],[[1.30162608]],[[1.14115939]],[[0.92024318]],[[1.10188466]],[[0.86274321]]
['EPCAM'],[[0.92295125]],[[1.70029894]],[[2.23792965]],[[1.2346804]],[[1.48072896]],[[1.12774772]],[[0.62899225]],[[0.56956794]],[[0.60354259]],[[0.91836033]],[[0.66233266]],[[0.8198224]],[[0.83036901]]
['TEK'],[[1.0068431]],[[2.04087354]],[[2.13294217]],[[2.06868859]],[[1.97844271]],[[1.0409202]],[[0.7275122]],[[0.57408566]],[[0.5650961]],[[0.92208854]],[[0.5400132]],[[0.62960724]],[[0.43121801]]
['TSHZ3'],[[1.14821601]],[[2.13581755]],[[2.17264081]],[[2.07525775]],[[2.04839621]],[[1.95983687]],[[1.57743517]],[[1.34295962]],[[1.30138485]],[[1.2710131]],[[1.0957877]],[[1.19851958]],[[1.0871487]]
['TBC1D15'],[[0.92618188]],[[2.10631444]],[[2.11589567]],[[2.06207703]],[[1.93784445]],[[1.28653372]],[[0.96588599]],[[0.97434003]],[[0.8910829]],[[0.93625047]],[[0.90839031]],[[1.06695945]],[[0.94079119]]
['GTDC1'],[[1.08691669]],[[2.19522878]],[[2.16993962]],[[2.06864491]],[[2.11439132]],[[1.2190235]],[[1.05882978]],[[0.99438824]],[[0.93290978]],[[1.09643178]],[[0.88151206]],[[0.9728412]],[[0.83728583]]
['SPATA1'],[[0.7070508]],[[1.58273479]],[[1.69167636]],[[1.80668947]],[[1.69230827]],[[1.71172998]],[[1.08054056]],[[1.15988852]],[[0.61756597]],[[0.54369093]],[[0.6454755]],[[1.13580208]],[[0.87449755]]
['TNFAIP6'],[[1.19946814]],[[2.51957114]],[[2.59167881]],[[2.79794373]],[[2.97209291]],[[2.0457431]],[[1.50950198]],[[1.44280034]],[[1.51356887]],[[1.2390174]],[[1.76484487]],[[2.49262367]],[[1.73650919]]
['ACSL3'],[[1.21176471]],[[1.97961769]],[[1.927727]],[[1.95476226]],[[2.20758928]],[[1.84941426]],[[1.21438884]],[[1.09906955]],[[0.97987994]],[[1.00588175]],[[0.86788312]],[[1.04170552]],[[0.91269421]]
['PREX1'],[[1.14422911]],[[2.2478281]],[[2.36096543]],[[2.25589569]],[[1.99414988]],[[1.43349773]],[[1.3168045]],[[1.15543574]],[[1.1936987]],[[1.19274261]],[[0.90776296]],[[1.07653685]],[[0.8909056]]
['TREM1'],[[1.10811696]],[[1.99798761]],[[2.14889568]],[[2.13965844]],[[2.02332273]],[[1.4336877]],[[1.36060483]],[[1.25455975]],[[1.24410882]],[[1.12571963]],[[0.86073298]],[[0.93437443]],[[0.77821684]]
['FFAR2'],[[0.70234728]],[[1.83348579]],[[1.95017365]],[[1.88031337]],[[1.67576452]],[[1.90902498]],[[1.57356005]],[[1.32115248]],[[1.37565546]],[[1.03281339]],[[0.71804961]],[[0.94801337]],[[0.72903215]]
['HNRNPH2'],[[0.99422262]],[[1.96170086]],[[1.996863]],[[1.91218901]],[[1.97306262]],[[1.62421438]],[[1.30596175]],[[1.18020227]],[[1.16923938]],[[0.98659065]],[[0.88916532]],[[1.05126841]],[[0.87542129]]
['KDM4B'],[[1.12173063]],[[1.95764317]],[[2.09321177]],[[1.95731146]],[[1.72581667]],[[1.51255214]],[[1.41311847]],[[1.23381435]],[[1.22582166]],[[1.18856972]],[[0.95152339]],[[1.10398915]],[[0.9308291]]
['HIP1'],[[1.13994688]],[[1.86006494]],[[2.03370429]],[[1.95425807]],[[1.99627998]],[[1.54922688]],[[1.35610786]],[[1.23685513]],[[1.1938235]],[[1.13465712]],[[0.73951491]],[[0.95425304]],[[0.60946551]]
