['NDUFAF7'],[[1.32667604]],[[1.81263581]],[[1.96348333]],[[2.04357273]],[[1.6752644]],[[1.25086506]],[[1.16771316]],[[0.82483314]],[[0.80081442]],[[0.9905659]],[[0.91579102]],[[0.84412173]],[[0.87862028]]
['CLEC4A'],[[1.49250944]],[[1.41535107]],[[1.49211041]],[[1.52722864]],[[1.76598987]],[[1.60958123]],[[2.45992469]],[[1.59556157]],[[1.3853986]],[[1.55255499]],[[1.33679886]],[[0.99650072]],[[1.29032017]]
['SERINC1'],[[1.40757235]],[[1.93033395]],[[2.12425357]],[[2.04550436]],[[2.12888848]],[[1.48873583]],[[1.5139655]],[[1.1966454]],[[1.15334166]],[[1.46032317]],[[1.08354116]],[[0.99393299]],[[1.15071287]]
['PTP4A1'],[[1.60887537]],[[1.97683769]],[[2.09182628]],[[2.07393943]],[[1.98209469]],[[1.58198293]],[[1.46556221]],[[1.22145068]],[[1.09800322]],[[1.444633]],[[1.12699988]],[[1.10558004]],[[1.12989239]]
['TMEM30A'],[[1.40387225]],[[1.73484271]],[[2.02358936]],[[1.87542373]],[[1.97407507]],[[1.47943091]],[[1.505162]],[[1.1797057]],[[1.08824224]],[[1.40405627]],[[1.12801614]],[[1.00877298]],[[1.15042043]]
['BRD8'],[[1.09082385]],[[1.70883771]],[[1.72744791]],[[1.71085539]],[[1.5749545]],[[1.11906839]],[[1.06903262]],[[0.97214876]],[[0.87308325]],[[1.13028719]],[[0.93338414]],[[0.87504761]],[[0.94923199]]
['CLK4'],[[1.69535683]],[[1.62262262]],[[1.88674631]],[[1.7541134]],[[1.88716394]],[[1.17404937]],[[1.22508753]],[[0.96236743]],[[0.91635374]],[[1.17031428]],[[0.94343057]],[[0.89010534]],[[0.92171539]]
['FAM172A'],[[1.34160449]],[[1.70912494]],[[2.1017]],[[1.88676097]],[[1.83337815]],[[1.18220799]],[[1.37808823]],[[1.10971231]],[[0.96543807]],[[1.08921655]],[[0.97868774]],[[0.88555254]],[[0.97716291]]
['ABCC5'],[[1.96172072]],[[1.72657029]],[[1.71544565]],[[1.6608769]],[[1.5412567]],[[0.85428391]],[[1.05996041]],[[0.91298842]],[[1.05489771]],[[1.31143792]],[[0.99936916]],[[0.87175061]],[[0.95788378]]
['SF3B6'],[[1.24072804]],[[1.79464153]],[[1.77127153]],[[1.84361248]],[[1.96720784]],[[1.47294291]],[[1.21934682]],[[1.23409432]],[[1.3321147]],[[1.55034346]],[[1.1795711]],[[1.10160708]],[[1.21524958]]
['CYTIP'],[[2.03261831]],[[2.00146123]],[[2.05331899]],[[2.06203961]],[[1.8786664]],[[1.21863893]],[[1.18896059]],[[1.03645558]],[[1.02633109]],[[1.27229693]],[[1.01163402]],[[1.02889453]],[[1.01598942]]
['ITGB6'],[[1.19107812]],[[1.52027904]],[[2.00650508]],[[1.67841829]],[[1.7105109]],[[0.96974439]],[[1.22951233]],[[1.1059826]],[[1.01943374]],[[0.99666777]],[[0.82811856]],[[0.83936362]],[[0.85195904]]
['STRN'],[[1.25721498]],[[1.87571953]],[[1.94502718]],[[1.91190684]],[[1.848647]],[[1.20018912]],[[1.26943848]],[[1.05193067]],[[1.02997345]],[[1.22722643]],[[1.00453951]],[[0.90591938]],[[1.02280915]]
['PLCL1'],[[1.28074425]],[[1.82878809]],[[1.74061019]],[[1.44232295]],[[1.35820292]],[[0.87152443]],[[0.9214103]],[[0.88355611]],[[0.73100061]],[[0.90733301]],[[0.77027223]],[[0.72849892]],[[0.85553255]]
['LRRC42'],[[1.80550297]],[[1.98019634]],[[2.0534141]],[[1.89436901]],[[1.9768569]],[[1.61062409]],[[1.11426227]],[[1.04377402]],[[1.09241005]],[[1.34800663]],[[1.20358524]],[[1.17666069]],[[1.18827733]]
['STXBP3'],[[1.48005478]],[[1.7833541]],[[2.00399329]],[[1.85301388]],[[1.91623112]],[[1.53225866]],[[1.61670006]],[[1.25103137]],[[1.1528836]],[[1.42727213]],[[1.08696444]],[[1.04467761]],[[1.08562237]]
